City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Eydhafushi,MV,5.1033,73.0708,80.46,75,9,11.79,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,53.71,35,0,27.63,clear sky
2,Busselton,AU,-33.65,115.3333,61.16,51,13,11.63,few clouds
3,Cidreira,BR,-30.1811,-50.2056,74.55,80,95,11.07,overcast clouds
4,Pringsewu,ID,-5.3582,104.9744,74.57,92,100,1.63,moderate rain
5,Kavieng,PG,-2.5744,150.7967,82.8,70,100,5.1,light rain
6,Port Macquarie,AU,-31.4333,152.9167,72.9,72,67,3.91,broken clouds
7,Iqaluit,CA,63.7506,-68.5145,-25.31,74,0,0.0,clear sky
8,Cherskiy,RU,68.75,161.3,-35.9,96,100,3.58,overcast clouds
9,Bluff,NZ,-46.6,168.3333,60.87,72,28,8.93,scattered clouds
10,Butaritari,KI,3.0707,172.7902,80.91,79,12,15.82,few clouds
11,Bethel,US,41.3712,-73.414,37.76,55,87,3.0,overcast clouds
12,Lompoc,US,34.6391,-120.4579,55.53,80,75,7.0,broken clouds
13,East London,ZA,-33.0153,27.9116,74.46,94,90,1.74,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,75.9,69,0,8.05,clear sky
15,Klaksvik,FO,62.2266,-6.589,25.72,66,100,19.73,light snow
16,Vaini,TO,-21.2,-175.2,84.36,79,20,5.75,few clouds
17,Hobart,AU,-42.8794,147.3294,72.05,63,75,10.36,broken clouds
18,Dalvik,IS,65.9702,-18.5286,30.13,97,100,15.05,snow
19,Ushuaia,AR,-54.8,-68.3,51.42,57,40,24.16,scattered clouds
20,Kapaa,US,22.0752,-159.319,81.12,68,75,4.0,broken clouds
21,Tutoia,BR,-2.7619,-42.2744,75.67,83,96,4.74,overcast clouds
22,Albany,US,42.6001,-73.9662,32.27,64,68,1.01,broken clouds
23,Mataura,NZ,-46.1927,168.8643,65.7,55,94,6.71,overcast clouds
24,Chokurdakh,RU,70.6333,147.9167,-26.82,96,73,10.33,broken clouds
25,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,72,75,8.05,broken clouds
26,Hermanus,ZA,-34.4187,19.2345,73.8,84,54,15.12,broken clouds
27,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.45,97,97,1.88,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,76.55,93,78,5.01,broken clouds
29,Mahebourg,MU,-20.4081,57.7,78.26,78,75,16.11,broken clouds
30,Kaitangata,NZ,-46.2817,169.8464,68.34,55,80,8.48,broken clouds
31,Ahipara,NZ,-35.1667,173.1667,72.03,55,4,8.66,clear sky
32,Reconquista,AR,-29.15,-59.65,84.74,32,6,5.26,clear sky
33,Menongue,AO,-14.6585,17.691,63.97,94,100,2.53,light rain
34,Bandundu,CD,-3.3167,17.3667,71.29,92,100,2.84,overcast clouds
35,Marawi,PH,7.9986,124.2928,72.57,90,96,1.34,overcast clouds
36,Almazar,UZ,40.3217,69.0106,8.82,83,2,6.6,clear sky
37,Esso,RU,55.9333,158.7,-11.0,96,85,4.85,overcast clouds
38,Atuona,PF,-9.8,-139.0333,78.67,74,100,15.59,overcast clouds
39,Ankang,CN,32.68,109.0172,28.74,68,51,1.03,broken clouds
40,Miandrivazo,MG,-19.5167,45.4667,76.95,82,57,2.91,broken clouds
41,Rikitea,PF,-23.1203,-134.9692,77.76,69,6,7.2,clear sky
42,Roald,NO,62.5833,6.1333,35.74,64,100,8.05,overcast clouds
43,Nova Olimpia,BR,-14.7972,-57.2881,75.4,90,90,3.6,overcast clouds
44,Nalut,LY,30.3333,10.85,48.04,37,10,9.89,clear sky
45,Ulaanbaatar,MN,47.9077,106.8832,-27.27,68,61,4.47,broken clouds
46,Crib Point,AU,-38.35,145.2,90.59,63,6,8.41,clear sky
47,Coquimbo,CL,-29.9533,-71.3436,65.93,72,20,10.36,few clouds
48,Port Elizabeth,ZA,-33.918,25.5701,74.1,97,75,10.36,broken clouds
49,Padang,ID,-0.9492,100.3543,75.94,83,98,4.45,overcast clouds
50,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,8.05,light snow
51,Hithadhoo,MV,-0.6,73.0833,79.21,67,17,3.2,few clouds
52,Yellowknife,CA,62.456,-114.3525,5.52,85,100,11.5,light snow
53,Poya,NC,-21.35,165.15,82.29,65,100,5.77,overcast clouds
54,Dikson,RU,73.5069,80.5464,-33.11,84,7,7.58,clear sky
55,Ittiri,IT,40.5929,8.5684,54.5,90,100,16.64,overcast clouds
56,Norman Wells,CA,65.282,-126.8329,3.24,78,75,12.66,light snow
57,Leningradskiy,RU,69.3833,178.4167,-30.77,96,14,4.65,few clouds
58,Lang Son,VN,21.8333,106.7333,45.19,62,100,5.82,overcast clouds
59,Okhotsk,RU,59.3833,143.3,-19.8,90,100,11.23,overcast clouds
60,Sitka,US,57.0531,-135.33,38.73,92,100,4.27,light rain
61,El Espinal,MX,16.3333,-94.0667,71.08,72,7,3.74,clear sky
62,Mar Del Plata,AR,-38.0023,-57.5575,72.09,89,75,12.66,broken clouds
63,Kisangani,CD,0.5167,25.2,72.3,79,72,2.8,broken clouds
64,Goroka,PG,-6.0834,145.3873,73.78,63,99,0.74,overcast clouds
65,Kahului,US,20.8947,-156.47,77.85,85,32,3.0,scattered clouds
66,Castro,BR,-24.7911,-50.0119,67.05,90,92,1.57,light rain
67,Fallon,US,39.4735,-118.7774,33.67,94,100,10.36,mist
68,Port Lincoln,AU,-34.7333,135.8667,70.25,68,99,17.49,moderate rain
69,Dunedin,NZ,-45.8742,170.5036,64.2,69,70,5.08,broken clouds
70,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,75,16.11,broken clouds
71,Ponta Do Sol,PT,32.6667,-17.1,60.71,71,26,5.28,scattered clouds
72,Avarua,CK,-21.2078,-159.775,82.45,69,7,8.05,clear sky
73,Kemi,FI,65.8596,24.8228,22.77,86,0,9.22,clear sky
74,Hilo,US,19.7297,-155.09,80.02,79,10,8.99,clear sky
75,Cayenne,GF,4.9333,-52.3333,73.44,100,75,0.0,broken clouds
76,Sinnamary,GF,5.3833,-52.95,76.01,89,77,10.42,broken clouds
77,Camopi,GF,3.1655,-52.3158,71.11,99,97,2.75,light rain
78,Faanui,PF,-16.4833,-151.75,81.16,58,97,14.29,overcast clouds
79,Taltal,CL,-25.4,-70.4833,66.83,78,16,3.62,few clouds
80,Lata,PT,40.1629,-8.3327,55.08,96,99,17.58,overcast clouds
81,Thompson,CA,55.7435,-97.8558,10.56,85,100,3.44,light snow
82,Pangody,RU,65.85,74.4859,-8.5,97,97,10.94,overcast clouds
83,Skagen,DK,57.7209,10.5839,40.46,88,100,33.96,light rain
84,Hasaki,JP,35.7333,140.8333,39.22,50,88,8.55,overcast clouds
85,Vorukh,TJ,39.8494,70.5838,21.15,23,0,9.44,clear sky
86,Matay,EG,28.419,30.7792,50.65,73,0,1.77,clear sky
87,Khatanga,RU,71.9667,102.5,-39.84,97,23,7.36,few clouds
88,Urumqi,CN,43.801,87.6005,-12.05,84,100,2.24,fog
89,Esperance,AU,-33.8667,121.9,62.15,55,54,14.92,broken clouds
90,Saint George,US,37.1041,-113.5841,49.24,86,75,6.91,broken clouds
91,Jamestown,US,42.097,-79.2353,40.64,49,0,1.99,clear sky
92,Namatanai,PG,-3.6667,152.4333,83.75,70,100,4.79,light rain
93,Kismayo,SO,-0.3582,42.5454,76.19,81,1,14.47,clear sky
94,Lavrentiya,RU,65.5833,-171.0,-13.4,86,100,14.0,overcast clouds
95,Sao Filipe,CV,14.8961,-24.4956,76.26,61,100,3.44,overcast clouds
96,Riyadh,SA,24.6877,46.7219,59.14,73,44,12.75,scattered clouds
97,Nikolskoye,RU,59.7035,30.7861,35.49,90,74,8.41,broken clouds
98,Bardiyah,LY,31.7561,25.0865,56.79,73,3,6.98,clear sky
99,Srednekolymsk,RU,67.45,153.6833,-46.52,99,91,5.44,overcast clouds
100,Marathon,US,44.9,-89.7668,34.84,96,100,8.05,light rain
101,Codrington,AU,-38.2667,141.9667,92.32,16,31,12.62,scattered clouds
102,Solsona,ES,41.994,1.5171,40.46,97,100,5.77,light rain
103,Puerto Carreno,CO,6.189,-67.4859,83.79,57,56,6.17,broken clouds
104,Dongying,CN,37.4564,118.4856,26.28,56,100,6.35,overcast clouds
105,Yulara,AU,-25.2406,130.9889,92.35,28,3,10.38,clear sky
106,Caarapo,BR,-22.6342,-54.8222,74.59,74,87,0.78,overcast clouds
107,Carnarvon,AU,-24.8667,113.6333,74.07,53,0,24.32,clear sky
108,Popondetta,PG,-8.7537,148.2534,77.86,84,100,0.45,overcast clouds
109,Clonakilty,IE,51.6231,-8.8706,33.01,82,100,10.6,light snow
110,Tres Arroyos,AR,-38.3739,-60.2798,69.6,33,1,16.02,clear sky
111,Kruisfontein,ZA,-34.0033,24.7314,71.89,94,100,11.9,overcast clouds
112,Slave Lake,CA,55.2834,-114.769,24.78,93,100,11.5,mist
113,Louisville,US,38.2542,-85.7594,50.81,93,100,5.99,overcast clouds
114,Longyearbyen,SJ,78.2186,15.6401,17.44,62,20,21.85,few clouds
115,Kalmunai,LK,7.4167,81.8167,76.42,83,65,11.12,broken clouds
116,Tasiilaq,GL,65.6145,-37.6368,15.64,66,100,10.33,overcast clouds
117,Kalmar,SE,56.6616,16.3616,39.15,92,100,11.5,overcast clouds
118,Cap Malheureux,MU,-19.9842,57.6142,78.48,70,46,10.0,scattered clouds
119,Provideniya,RU,64.3833,-173.3,6.91,56,75,26.84,broken clouds
120,Kavaratti,IN,10.5669,72.642,78.8,74,42,6.91,scattered clouds
121,Troitsko-Pechorsk,RU,62.7084,56.1964,13.6,91,100,11.48,overcast clouds
122,Porto Novo,BJ,6.4965,2.6036,82.22,84,30,3.13,scattered clouds
123,Lamongan,ID,-7.1167,112.4167,76.39,88,100,4.27,overcast clouds
124,Airai,TL,-8.9266,125.4092,68.67,73,70,1.81,broken clouds
125,Chingola,ZM,-12.529,27.8838,62.37,97,100,2.8,light rain
126,Pozo Colorado,PY,-23.4923,-58.7972,91.53,33,28,10.13,scattered clouds
127,Saskylakh,RU,71.9167,114.0833,-27.4,99,57,7.34,broken clouds
128,Suez,EG,29.9737,32.5263,53.49,64,4,2.86,clear sky
129,Balaipungut,ID,1.05,101.2833,72.41,98,90,2.24,overcast clouds
130,College,US,64.8569,-147.8028,5.09,96,99,3.49,overcast clouds
131,Abu Zabad,SD,12.35,29.25,64.2,23,3,16.37,clear sky
132,San Andres,CO,12.5847,-81.7006,80.62,69,20,11.5,few clouds
133,Rawson,AR,-43.3002,-65.1023,65.52,56,82,10.94,broken clouds
134,Puerto Escondido,MX,15.85,-97.0667,78.91,78,18,9.42,few clouds
135,Raudeberg,NO,61.9875,5.1352,36.27,70,96,7.16,overcast clouds
136,Trebic,CZ,49.2149,15.8817,36.66,92,100,6.91,overcast clouds
137,Luis Correia,BR,-2.8792,-41.6669,76.37,82,99,4.29,overcast clouds
138,Ormara,PK,25.2088,64.6357,65.01,42,55,5.73,broken clouds
139,Lebu,CL,-37.6167,-73.65,56.82,84,4,15.37,clear sky
140,Beitbridge,ZW,-22.2167,30.0,71.55,86,98,11.01,light rain
141,Palmer,US,42.1584,-72.3287,35.49,68,100,7.0,overcast clouds
142,Eyl,SO,7.9803,49.8164,73.78,74,15,14.32,few clouds
143,Sokolo,ML,14.7328,-6.1219,72.57,15,36,10.87,scattered clouds
144,Mareeba,AU,-17.0,145.4333,79.52,95,100,3.04,overcast clouds
145,Tiarei,PF,-17.5333,-149.3333,86.02,67,67,4.38,broken clouds
146,Smithers,CA,54.7804,-127.1743,34.05,97,98,0.96,overcast clouds
147,Caravelas,BR,-17.7125,-39.2481,75.67,85,84,5.46,broken clouds
148,Vila Velha,BR,-20.3297,-40.2925,78.75,88,40,9.22,scattered clouds
149,Kisesa,TZ,-3.0833,34.15,61.93,86,90,6.93,light rain
150,Dir,PK,35.2058,71.8756,23.5,46,0,11.68,clear sky
151,Mweka,CD,-4.85,21.5667,68.16,99,100,1.97,light rain
152,Baijiantan,CN,45.6333,85.1833,-10.84,92,6,2.77,clear sky
153,Aksehir,TR,38.3575,31.4164,38.64,80,9,6.31,clear sky
154,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,11.5,few clouds
155,Sobolevo,RU,54.4299,31.8996,30.7,97,100,11.59,light snow
156,Barrow,US,71.2906,-156.7887,-23.78,83,0,10.36,clear sky
157,Uray,RU,60.1247,64.7758,10.36,83,49,9.31,scattered clouds
158,Salalah,OM,17.0151,54.0924,68.61,78,68,0.07,broken clouds
159,Shakhtinsk,KZ,49.71,72.5872,-7.78,87,35,3.83,scattered clouds
160,Tiksi,RU,71.6872,128.8694,-21.89,100,100,6.89,overcast clouds
161,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-5.21,54,0,8.95,clear sky
162,Krasnoselkup,RU,65.7,82.4667,-31.05,99,14,6.38,few clouds
163,Saquarema,BR,-22.92,-42.5103,75.52,85,16,14.74,few clouds
164,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,31,10.33,scattered clouds
165,Asyut,EG,27.181,31.1837,50.58,67,0,3.62,clear sky
166,Coari,BR,-4.085,-63.1414,74.01,97,100,2.33,moderate rain
167,Kodiak,US,57.79,-152.4072,35.56,93,99,11.41,light rain
168,Kasempa,ZM,-13.4584,25.8338,63.73,98,100,3.33,light rain
169,Voznesenye,RU,61.0106,35.4781,32.36,87,85,13.62,overcast clouds
170,Kwinana,AU,-32.25,115.7667,64.81,52,0,4.0,clear sky
171,Yar-Sale,RU,66.8333,70.8333,3.47,96,100,14.23,overcast clouds
172,Zhigansk,RU,66.7697,123.3711,-56.09,99,95,4.47,overcast clouds
173,Poum,NC,-20.2333,164.0167,80.78,70,100,13.44,overcast clouds
174,Karratha,AU,-20.7377,116.8463,82.2,74,61,10.29,broken clouds
175,Torbay,CA,47.6666,-52.7314,43.88,97,100,8.05,fog
176,Tiznit,MA,29.5833,-9.5,53.98,70,0,1.66,clear sky
177,Mount Gambier,AU,-37.8333,140.7667,90.54,16,63,11.12,broken clouds
178,Qaanaaq,GL,77.484,-69.3632,-10.93,58,78,6.04,broken clouds
179,Gari,RU,59.4307,62.3497,11.73,86,36,8.95,scattered clouds
180,Sept-Iles,CA,50.2001,-66.3821,25.05,76,100,6.91,light rain
181,Aparecida,BR,-22.8469,-45.2297,71.15,94,7,1.16,clear sky
182,Aswan,EG,24.0934,32.907,55.29,51,35,7.74,scattered clouds
183,Pisco,PE,-13.7,-76.2167,69.03,85,36,5.99,scattered clouds
184,Bahile,PH,9.9995,118.7878,78.37,90,73,4.97,broken clouds
185,Bengkulu,ID,-3.8004,102.2655,75.45,88,98,3.89,overcast clouds
186,Cockburn Town,TC,21.4612,-71.1419,74.26,52,2,8.05,clear sky
187,Upernavik,GL,72.7868,-56.1549,-2.63,94,100,5.06,overcast clouds
188,Tual,ID,-5.6667,132.75,83.28,72,100,7.83,overcast clouds
189,Inhambane,MZ,-23.865,35.3833,78.37,77,74,8.66,broken clouds
190,Narsaq,GL,60.9167,-46.05,1.62,66,9,10.42,clear sky
191,Nome,US,64.5011,-165.4064,6.98,87,100,11.88,overcast clouds
192,Bilma,NE,18.6853,12.9164,60.66,27,0,8.05,clear sky
193,Chuy,UY,-33.6971,-53.4616,69.94,74,0,10.83,clear sky
194,Fairbanks,US,64.8378,-147.7164,5.09,83,98,3.24,overcast clouds
195,Nikolayevsk-Na-Amure,RU,53.1406,140.73,-23.57,90,18,2.91,few clouds
196,Port Alfred,ZA,-33.5906,26.891,73.18,98,100,9.22,overcast clouds
197,Desaguadero,PE,-16.5656,-69.0417,50.09,61,58,9.22,broken clouds
198,Sao Desiderio,BR,-12.3633,-44.9733,74.55,74,99,4.03,overcast clouds
199,Blairmore,CA,49.6,-114.4353,35.53,90,100,5.5,overcast clouds
200,Napanee,CA,44.2501,-76.9494,23.95,92,40,4.18,scattered clouds
201,Corpus Christi,US,27.8006,-97.3964,79.16,77,20,8.05,haze
202,Bathurst,AU,-33.4166,149.5806,75.96,57,22,6.42,few clouds
203,Arraial Do Cabo,BR,-22.9661,-42.0278,74.62,90,20,23.55,few clouds
204,Labuhan,ID,-6.8844,112.2051,78.13,86,100,6.62,light rain
205,Dongsheng,CN,39.8161,109.9776,5.41,79,15,16.15,few clouds
206,Mehamn,NO,71.0357,27.8492,33.75,80,40,0.0,scattered clouds
207,San Borja,BO,-14.8167,-66.85,73.85,93,89,1.72,overcast clouds
208,New Norfolk,AU,-42.7826,147.0587,72.72,46,31,2.98,scattered clouds
209,Kenai,US,60.5544,-151.2583,31.08,92,89,12.12,overcast clouds
210,Orlik,RU,52.5178,99.825,-4.54,90,100,3.18,overcast clouds
211,Cabo San Lucas,MX,22.8909,-109.9124,75.61,65,24,3.0,few clouds
212,Farmington,US,36.7281,-108.2187,36.28,96,75,8.01,broken clouds
213,Cururupu,BR,-1.8283,-44.8683,71.82,95,100,2.68,overcast clouds
214,Georgetown,MY,5.4112,100.3354,77.95,85,20,5.99,few clouds
215,Porto San Giorgio,IT,43.1827,13.7934,50.59,71,73,10.89,broken clouds
216,Shingu,JP,33.7333,135.9833,43.07,54,3,5.01,clear sky
217,Cabedelo,BR,-6.9811,-34.8339,79.29,76,99,10.09,overcast clouds
218,Maralal,KE,1.0968,36.698,56.21,69,11,4.76,few clouds
219,Husavik,IS,66.0449,-17.3389,30.92,94,100,26.17,snow
220,Tambovka,RU,50.0969,128.0489,-13.14,100,100,2.84,overcast clouds
221,Tsabong,BW,-26.0217,22.401,79.43,29,0,10.29,clear sky
222,Pevek,RU,69.7008,170.3133,-31.23,100,43,0.83,scattered clouds
223,Faya,SA,18.3851,42.4509,52.27,77,34,4.0,scattered clouds
224,Marsa Matruh,EG,31.3525,27.2453,59.52,67,12,6.42,few clouds
225,Bredasdorp,ZA,-34.5322,20.0403,70.05,90,99,16.24,light rain
226,Iquique,CL,-20.2208,-70.1431,71.64,77,13,2.3,few clouds
227,Sarkand,KZ,45.41,79.9186,9.45,69,1,6.17,clear sky
228,Novo Aripuana,BR,-5.1206,-60.3797,73.35,98,94,2.82,moderate rain
229,Tautira,PF,-17.7333,-149.15,79.14,68,87,4.0,overcast clouds
230,Muros,ES,42.7762,-9.0603,58.08,82,93,26.33,overcast clouds
231,Campo Verde,BR,-20.4167,-54.0667,72.91,87,98,2.24,moderate rain
232,Pershotravneve,UA,51.3929,28.8684,36.55,93,100,13.65,overcast clouds
233,Catemaco,MX,18.4167,-95.1167,71.38,83,4,7.61,clear sky
234,Phuket,TH,8.0,98.25,82.09,86,20,1.14,few clouds
235,Bara,NG,10.3744,10.7288,67.6,28,100,8.28,overcast clouds
236,Mahon,ES,39.8885,4.2658,57.76,77,0,19.57,clear sky
237,La Ronge,CA,55.1001,-105.2842,-0.8,100,66,3.36,broken clouds
